year,region_name,state_name,municipio_cod,latitude,longitude,yield_kg_ha,production_1000t,area_planted_1000ha
2020,Dom Basílio - BA,BA,2910107,-13.7565,-41.7677,0.0,0.0,0.0
2020,Dom Macedo Costa - BA,BA,2910206,-12.9016,-39.1923,0.0,0.0,0.0
2020,Dário Meira - BA,BA,2910008,-14.4229,-39.9031,1000.0,0.003,0.003
2020,Elísio Medrado - BA,BA,2910305,-12.9417,-39.5191,0.0,0.0,0.0
2020,Encruzilhada - BA,BA,2910404,-15.5302,-40.9124,1379.0,8.0,5.8
2020,Entre Rios - BA,BA,2910503,-11.9392,-38.0871,0.0,0.0,0.0
2020,Esplanada - BA,BA,2910602,-11.7942,-37.9432,0.0,0.0,0.0
2020,Euclides da Cunha - BA,BA,2910701,-10.5078,-39.0153,0.0,0.0,0.0
2020,Eunápolis - BA,BA,2910727,-16.3715,-39.5821,2961.0,11.4,3.85
2020,Feira da Mata - BA,BA,2910776,-14.2044,-44.2744,0.0,0.0,0.0
2020,Feira de Santana - BA,BA,2910800,-12.2664,-38.9663,0.0,0.0,0.0
2020,Filadélfia - BA,BA,2910859,-10.7405,-40.1437,0.0,0.0,0.0
2020,Firmino Alves - BA,BA,2910909,-14.9823,-39.9269,0.0,0.0,0.0
2020,Floresta Azul - BA,BA,2911006,-14.8629,-39.6579,1600.0,0.04,0.025
2020,Formosa do Rio Preto - BA,BA,2911105,-11.0328,-45.193,0.0,0.0,0.0
2020,Fátima - BA,BA,2910750,-10.616,-38.2239,0.0,0.0,0.0
2020,Gandu - BA,BA,2911204,-13.7441,-39.4747,1000.0,0.015,0.015
2020,Gavião - BA,BA,2911253,-11.4688,-39.7757,0.0,0.0,0.0
2020,Gentio do Ouro - BA,BA,2911303,-11.4342,-42.5077,0.0,0.0,0.0
2020,Glória - BA,BA,2911402,-9.34382,-38.2544,0.0,0.0,0.0
2020,Gongogi - BA,BA,2911501,-14.3195,-39.469,667.0,0.002,0.003
2020,Governador Mangabeira - BA,BA,2911600,-12.5994,-39.0412,0.0,0.0,0.0
